選手名,登録番号,卒業期,地区,ホームバンク,府県,脚質,生年月日,縁故選手,友人,練習仲間,練習グループ,師匠,弟子,好きな周長,好きな車番,好きな食べ物,嫌いな食べ物
中島　将尊,14991,105期,関東,西武園,東京都,両,1994/7/27,中島 義行(父60期・引退),-,-,-,吉松　賢二（群　馬・90期）,-,-,3,-,納豆
中園　和剛,14043,89期,九州,久留米,福岡県,追,1982/7/21,中園 朋亨(弟93期),-,梶山裕次郎（福　岡・87期）、田中　誠（福　岡・89期）、竹内　真一（福　岡・89期）,-,池尻　浩一（福　岡・63期）,-,-,2,-,-
中田　雄喜,14576,97期,北日本,いわき平,福島県,追,1987/4/18,-,-,飯野　祐太（福　島・90期）、平沼　由充（福　島・83期）、岡田　哲夫（福　島・92期）、小酒　大司（福　島・94期）,-,飯野　祐太（福　島・90期）,-,-,2,焼肉、パフェ,-
中西　大,15058,107期,近畿,和歌山,和歌山県,逃,1990/10/17,中西勇(125期),山岸　佳太（茨　城・107期）、小川　賢人（福　岡・103期）,-,-,池田　智毅（和歌山・68期）,張野　幸聖（和歌山・115期）,333m,１・３・９,肉､甘い物､ﾃﾞﾗｯｸｽｹｰｷの端､ﾃﾞｰﾂｼﾛｯﾌﾟ､ｵｰｶﾞﾆｯｸｽｲｰﾂ､塩,生野菜、パクチー、酢の物
中野　慎詞,15596,121期,北日本,-,岩手県,逃,1999/6/8,-,塩崎　隼秀（愛　媛・121期）、中釜　健次（大　阪・121期）、松本秀之慎（熊　本・121期）、中山遼太郎（熊　本・121期）、眞砂　英作（香　川・121期）、東矢　圭吾（熊　本・121期）,-,-,佐藤　友和（岩　手・88期）,-,400m,9,寿司、漬け物,なし
中村　圭志,13821,86期,九州,熊本,熊本県,追,1980/12/18,-,-,中村　健志（熊　本・96期）、園田　鉄兵（熊　本・93期）、谷口　力也（熊　本・119期）,-,奥羽　勲（熊　本・49期）,中山敬太郎（熊　本・100期）,-,１・４・５,深夜特急,特になし
中村　健志,14565,96期,九州,熊本,熊本県,追,1986/1/25,中村 雅仁(兄90期),-,中村　雅仁（熊　本・90期）、中村　圭志（熊　本・86期）、園田　鉄兵（熊　本・93期）、谷口　力也（熊　本・119期）,Ｇ－ＴＯＲＡ,中村　雅仁（熊　本・90期）,谷口　力也（熊　本・119期）,-,１・５・７,肉,とまと
中村　弘之輔,15083,109期,北日本,函館,北海道,両,1992/1/30,中村 敏之輔(兄91期),-,中村敏之輔（北海道・91期）,-,中村敏之輔（北海道・91期）,-,-,7,ラーメン,果物
中村　浩士,13252,79期,南関東,千葉,千葉県,追,1978/1/15,-,-,根田　空史（千　葉・94期）、岩本　俊介（千　葉・94期）、原田　亮太（千　葉・115期）、山本　紳貴（千　葉・107期）、田中　まい（千　葉・104期）、石井　寛子（東　京・104期）、山本　天平（千　葉・125期）,中村道場,吉田　昌弘（千　葉・65期）,植草　亮介（千　葉・90期）、根田　空史（千　葉・94期）、湯浅　大輔（千　葉・96期）、河上　陽一（千　葉・99期）、田畑茉利名（千　葉・102期）、原田　亮太（千　葉・115期）,-,1,くだもの,お漬物
中村　昌弘,13436,81期,中国,広島,広島県,追,1976/12/26,-,-,櫻井　宏智（広　島・72期）、市本　隆司（広　島・72期）,-,大久保義郎（広　島・57期）,-,500m,2,お好み焼、カレー、チョコレート,ビール
中村　隆生,15424,117期,関東,宇都宮,栃木県,逃,2000/6/16,小嶋康博（81期）,櫻井祐太郎（宮　城・117期）、枠元　一葵（福　井・117期）、内藤　久文（愛　知・117期）、土生　敦弘（大　阪・117期）,宮原　貴之（栃　木・67期）、神山　尚（栃　木・109期）、長島　大介（栃　木・96期）、岡田　泰地（栃　木・100期）、磯田　旭（栃　木・96期）、小池　千啓（栃　木・119期）、秋本耀太郎（栃　木・117期）、金子　幸央（栃　木・101期）,瀧深練習会,宮原　貴之（栃　木・67期）,-,400m,１・５・７・９,焼肉、ステーキ,ごぼう、なす
中本　匠栄,14635,97期,九州,熊本,熊本県,追,1987/4/10,-,-,倉岡慎太郎（熊　本・59期）、大窪　輝之（熊　本・72期）、吉成　晃一（熊　本・92期）、寺崎　祐樹（熊　本・97期）、上野　優太（熊　本・113期）、嘉永　泰斗（熊　本・113期）、兼本　将太（熊　本・117期）,-,小西浩一郎（熊　本・55期）,-,-,１・２,焼肉、寿司,-
長尾　拳太,14939,103期,中部,大垣,岐阜県,両,1993/6/15,-,北川大五郎（大　阪・103期）、石口　慶多（兵　庫・103期）、中井　俊亮（奈　良・103期）、渡辺福太郎（神奈川・103期）,冨岡　健一（岐　阜・64期）、山口　富生（岐　阜・68期）、若原　英伸（岐　阜・68期）、竹田　和幸（岐　阜・78期）、山田　隼司（岐　阜・91期）、松岡　篤哉（岐　阜・97期）、岡崎　祥伍（岐　阜・97期）、竹内　雄作（岐　阜・99期）、松岡晋乃介（岐　阜・109期）,北陽,水谷　雅樹（岐　阜・71期）,-,400m,3,-,果物
永澤　剛,14127,91期,北日本,-,青森県,追,1985/7/21,-,小野　大介（福　島・91期）,新山　将史（青　森・98期）、木村　弘（青　森・100期）、小原　佑太（青　森・115期）,八戸地区のみなさん,榊　敏晴（青　森・41期）,嵯峨昇喜郎（青　森・113期）、大川　剛（青　森・121期）,-,３・９,焼肉、焼鳥、馬肉、ジンギスカン,-
長島　大介,14507,96期,関東,宇都宮,栃木県,両,1989/6/24,-,-,幸田　光博（栃　木・67期）、齋藤　昌太（栃　木・93期）、神山　拓弥（栃　木・91期）,-,幸田　光博（栃　木・67期）,-,-,3,パスタ,梅干し
那須　久幸,12705,71期,九州,久留米,福岡県,追,1972/6/8,島村匠(甥111期),周藤　勲（佐　賀・71期）,-,田中誠グループ,井上　寿博（宮　崎・45期）,-,-,２・７,うに、イクラ、フォアグラ、キャビア、ハラミ,うなぎ
成清　貴之,12813,73期,南関東,千葉,千葉県,追,1973/12/17,成清謙二郎(弟90期)、成清龍之介(長男117期）,米澤　大輔（徳　島・73期）、中曽　直彦（千　葉・74期）、渡邉　晴智（静　岡・73期）,-,宮倉グループ､成清龍之介,田中　進（千　葉・36期）,成清龍之介（千　葉・117期）,-,1,寿司・焼肉・カレーライス・ラーメン,ブルーチーズ、くさや、ブリ
成田　和也,13917,88期,北日本,-,福島県,追,1979/2/25,成田 恭一(兄・94期・引退),-,-,-,佐藤　一朗（福　島・63期）,-,-,-,-,-
成松　春樹,14339,93期,九州,武雄,佐賀県,両,1986/3/26,成松 三十司(父41期・引退),-,-,-,成松三十司（佐　賀・41期）,真崎　章徳（佐　賀・113期）,-,7,辛い物,苦い物
南儀　拓海,15627,121期,中部,富山,富山県,逃,1998/12/23,-,梅崎　隆介（長　崎・121期）、加藤　将武（埼　玉・121期）、村田　祐樹（富　山・121期）,-,-,竹澤　浩司（富　山・90期）,-,400m,1,焼肉、家系ラーメン,キウイフルーツ、なす
南部　翔大,15825,125期,近畿,岸和田,大阪府,逃,2001/1/4,-,栗山　和樹（岐　阜・125期）、角　宗哉（山　口・125期）、高橋　舜（宮　城・125期）、中島　淳（埼　玉・125期）、松本　昂大（長　崎・125期）、谷内　健太（京　都・125期）、山本　天平（千　葉・125期）、秋末　蓮（兵　庫・125期）,-,-,多田　司（大　阪・51期）,-,333m,1,寿司・焼肉,-
新納　大輝,14958,103期,九州,-,鹿児島県,追,1989/9/29,-,-,前田　義和（鹿児島・94期）,黒虎グループ,前田　義和（鹿児島・94期）,-,400m,2,肉,レーズン
西岡　正一,13642,84期,近畿,和歌山,和歌山県,追,1977/4/11,-,-,-,-,中村　郁彦（和歌山・44期）,-,-,1,焼肉・寿司・カニ,らっきょう・みたらし団子
西岡　拓朗,14617,97期,中国,広島,広島県,追,1983/11/21,-,-,-,-,和田　誠吾（広　島・55期）,佐伯　辰哉（広　島・109期）,-,-,-,-
西田　雅志,13498,82期,中国,広島,広島県,追,1978/2/20,-,立花　成泰（岡　山・82期）、吉川　誠（神奈川・86期）、小玉　拓真（岡　山・98期）,-,-,鬼原　秀幸（広　島・34期）,中屋　庸（広　島・97期）,-,１・２,ラーメン・焼肉,ピーマン
西田　将士,15014,105期,九州,佐世保,長崎県,追,1983/10/14,-,-,江口　晃正（長　崎・75期）、米嶋　賢二（長　崎・77期）、荒井　崇博（長　崎・82期）、井上　昌己（長　崎・86期）、山口幸太郎（長　崎・99期）、船倉　卓郎（長　崎・99期）、平尾　一晃（長　崎・111期）、梅崎　隆介（長　崎・121期）,-,米嶋　賢二（長　崎・77期）,-,-,２・５,焼き肉,なすび
西田　優大,15731,123期,中国,広島,広島県,逃,1997/9/19,-,-,吉本　哲郎（広　島・84期）、竹内　翼（広　島・109期）、木村　幸希（広　島・109期）、船瀬　惇平（広　島・111期）、増田　仁（広　島・113期）、町田　太我（広　島・117期）、白井優太朗（広　島・119期）、黒瀬浩太郎（広　島・123期）、藤高　千恵（広　島・124期）,吉本グループ,吉本　哲郎（広　島・84期）,-,400m,1,肉、寿司,きのこ
西村　光太,14537,96期,中部,松阪,三重県,追,1986/3/17,-,久米　良（徳　島・96期）,-,-,萩原　操（三　重・51期）,-,400m,１・２,ハンバーグ,野菜
新田　康仁,12887,74期,南関東,静岡,静岡県,追,1974/3/8,-,-,-,-,-,内山　雅貴（静　岡・113期）、當銘　直美（愛　知・114期）、清水　彩那（静　岡・116期）、鈴木　陸来（静　岡・117期）、當銘沙恵美（愛　知・118期）,-,3,カステラ、あんこ,なす
新田　祐大,14054,90期,北日本,いわき平,福島県,両,1986/1/25,-,-,-,-,班目　秀雄（福　島・24期）,-,-,1,甘いもの,苦いもの
仁藤　秀,15442,117期,南関東,静岡,静岡県,両,1998/10/3,-,渡邉　直弥（静　岡・113期）、吉元　大生（静　岡・113期）、内山　雅貴（静　岡・113期）、和泉　尚吾（愛　媛・117期）、渡邉　雅也（静　岡・117期）、長田　龍拳（静　岡・117期）,深澤　伸介（静　岡・76期）、飯田　憲司（静　岡・96期）、渡邉　晴智（静　岡・73期）、渡邉　雄太（静　岡・105期）、石川　英昭（静　岡・75期）、菊池竣太朗（静　岡・111期）、山城　光央（静　岡・64期）、吉竹　尚城（静　岡・109期）、阿部　俊（静　岡・125期）、望月　湧世（静　岡・123期）,-,深澤　伸介（静　岡・76期）,-,400m,1,焼肉、寿司,マヨネーズ
根田　空史,14380,94期,南関東,千葉,千葉県,逃,1988/7/21,-,-,中村　浩士（千　葉・79期）、岩本　俊介（千　葉・94期）、原田　亮太（千　葉・115期）、山本　紳貴（千　葉・107期）、田中　まい（千　葉・104期）、山本　天平（千　葉・125期）,中村道場,中村　浩士（千　葉・79期）,-,-,7,ラーメン・そば・ギョウザ,マヨネーズ
根本　哲吏,14571,97期,北日本,-,秋田県,両,1986/2/15,-,-,-,秋田選手会,佐藤　朋也（秋　田・89期）,-,-,-,ラーメン・甘い物,-
野口　裕史,15169,111期,南関東,千葉,千葉県,逃,1983/5/3,-,染谷　幸喜（千　葉・111期）、内田　淳（千　葉・111期）、小林裕一朗（千　葉・111期）、中野　真吾（佐　賀・111期）、戸塚　涼介（埼　玉・111期）、寺沼　将彦（東　京・111期）、能代谷　元（神奈川・111期）、浜田　翔平（大　阪・111期）,武井　大介（千　葉・86期）、手嶋　靖（千　葉・67期）、吉澤　賢（千　葉・94期）、太刀川一成（千　葉・100期）、近藤　保（千　葉・95期）、藤田　大輔（千　葉・91期）、栗本　尚宗（千　葉・113期）,-,武井　大介（千　葉・86期）,五味田奈穂（千　葉・124期）,500m,5,肉・マグロ・パン,パクチー
野口　正則,15005,105期,近畿,奈良,奈良県,両,1990/8/28,-,-,-,-,武田　和也（奈　良・92期）,-,-,-,うどん,グリーンカレー
野崎　将史,15117,109期,中国,玉野,岡山県,両,1986/10/23,-,上原　直樹（岡　山・75期）,内藤　敦（岡　山・80期）、石坂　永伍（岡　山・93期）、滝本　泰行（岡　山・107期）、上原　直樹（岡　山・75期）,-,内藤　敦（岡　山・80期）,三木　健正（岡　山・125期）,-,9,寿司・焼肉,ブロッコリー
野田　源一,13387,81期,九州,久留米,福岡県,両,1978/12/11,-,-,-,-,山崎　幸悦（秋　田・33期）,-,-,1,フルーツ、サラダ,-
野中　祐志,14657,98期,関東,大宮,埼玉県,追,1987/5/13,-,-,-,-,小沼　良（埼　玉・68期）,-,-,２・９,ぎょうざの満州､山田うどん､るーぱん､ペペロンチーノ,長ネギ・生の玉ねぎ・ショウガ・パクチー
萩原　孝之,13328,80期,南関東,静岡,静岡県,追,1977/7/12,-,-,-,-,鈴木　伸一（静　岡・58期）,-,-,-,-,-
箱田　優樹,14641,98期,北日本,青森,青森県,追,1990/10/26,-,-,-,星道場,星　良信（青　森・28期）,-,-,1,ラーメン,-
橋本　宇宙,15744,123期,九州,武雄,佐賀県,逃,1999/9/23,橋本瑠偉(113期)品川啓司(63期),篠田　幸希（群　馬・123期）、出口謙一郎（岐　阜・123期）、平野　想真（愛　知・123期）、斉藤　樂（宮　城・123期）,-,-,小林　弘和（佐　賀・91期）,-,400m,3,寿司,-
橋本　壮史,15517,119期,関東,取手,茨城県,逃,1995/4/14,橋本豊（叔父55期）,上杉　嘉槻（福　井・119期）,横山　尚則（茨　城・100期）、朝倉　智仁（茨　城・115期）、遠藤　洋希（茨　城・115期）、木村　皆斗（茨　城・119期）、藤田　祐大（茨　城・125期）,横山グループ,横山　尚則（茨　城・100期）,-,400m,１・２・３,餅、エナジードリンク,鱈子
